Ingredients,Nameofproduct,protein,sodium,fiber,sugars,Servingsize,calories,Saturatedfat,category
"Ingredients: Plantains*, Coconut Oil*, Sea Salt, Tapioca Maltodextrin*, Lime Juice Concentrate*, Lime Oil*, Parsley* *Indicated USDA Certified Organic","Organic Lime Plantain Chips, 5 oz",1,180,1,0,28,145,8,organic
Organic Ground White Corn Masa Flour & Organic Canola Oil,"Organic Tortilla Chips, 14 oz",2,0,2,0,28,120,0,organic
"Organic Wheat Flour, Organic Expeller Pressed Soybean Oil, Organic Malted Barley Flour","Organic Mini Pretzel Twists (Unsalted), 8 oz",3,40,2,1,28,110,0,organic
"*Kale, *Sunflower Seeds, *Lemon Juice, *Chickpea Miso (*Rice, *Chickpeas, Sea Salt, Water, Koji Spores (Aspergillus Oryzae)), *Carrot, *Nutritional Yeast *Tomato, *Turmeric, Himalayan Salt, *Onion Powder, *Garlic Powder., *Represents Organic Ingredient","Brad's Cheeze It Up Crunchy Kale, 2 oz",4,170,2,1,28,80,0.5,organic
"Organic Kale, Organic Sunflower Seeds, Organic Tahini (Ground Sesame Seeds), Organic Carrot, Organic Cane Sugar, Organic Apple Cider Vinegar, Organic Onion, Sea Salt, Organic Lemon Juice, Organic Dill Weed, Organic Garlic, Organic White Pepper","Rhythm Superfoods Kool Ranch Kale Chips, 2 oz",5,240,3,2,28,130,1.5,organic
"Ingredients: Plantains*, Coconut Oil*, Sea Salt, Tapicoca Maltodextrin*, White Distilled Vinegar*, Apple Cider Vinegar* *Indicates USDA Certified Organic","Organic Sea Salt Vinegar Plantain Chips, 5 oz",1,85,1,1,28,150,8,organic
"Chickpea Flour*, Corn Flour*, Sunflower Oil*, Pea Fiber*, Rice Flour*, Salt, Cane Sugar*, Spices*, Citric Acid, Onion Powder*, Garlic Powder*, Jalapeno Pepper Powder*, Chili Pepper* (Spices*, Sea Salt, Garlic Powder*), Flavor*, Natural Flavor*, *Organic Ingredients","Organic Jalapeno Vegan Cheddar Tortilla Chips, 5 oz",3,330,3,1,28,150,1,organic
Organic Apples,"Organic Granny Smith Apple Chips, 3 oz",1,0,5,18,30,110,0,organic
Organic Long Grain Brown Rice.,"Sea Salt Ripped Potato Chips, 25 lb",3,0,3,0,45,150,0,organic
"Chickpea Flour*, Corn Flour*, Sunflower Oil*, Pea Fiber*, Sea Salt, *Organic Ingredients","Organic Straight Up Sea Salt Tortilla Chips, 5 oz",3,280,3,1,28,160,1,organic
"Ingredients: Plantains*, Coconut Oil*, Sea Salt, Cane Syrup*, Dried Rocoto Pepper*, Tomato Powder*, Onion Powder*, Paprika*, Spices*, Garlic Powder*, Maltodextrin*, Citric Acid, Natural Smoke Flavor, Sunflower Oil*, Lime Juice Concentrate*, Lime Oil*, Mango Flakes* *Indicates USDA Certified Organic",Organic Spicy Mango Salsa Plantain Chips,1,100,1,0,28,145,5,organic
"Organic Beets, Organic High Oleic Sunflower Oil, Sea Salt, Organic Rosemary Extract (To Preserve Freshness)","Sea Salt Beet Chips, 1.4 oz",4,320,7,17,40,160,1,organic
"Ingredients: Organic Carrots, Organic High Oleic Sunflower Oil, Sea Salt, Organic Rosemary Extract (To Preserve Freshness)","Organic Sea Salt Carrot Sticks, 1.4 oz",3,310,11,6,40,150,0,organic
"Organic Potatoes, Organic Expeller Pressed Sunflower Seed, Safflower Seed and/or Canola Oil, Sea Salt.","Organic Sea Salt Potato Chips, 5 oz",1,170,1,0,28,150,1,organic
"Coconut Flour*, Cassava Starch*, Coconut Oil*, Sea Salt, Himalayan Pink Salt, Xanthan Gum., *Organic","Organic Himalayan Pink Salt Tortilla Chips, 5.5 oz",2,280,5,2,28,140,6,organic
"Organic Bananas, Organic Cinnamon","Organic Cinnamon Banana Chips, 2.7 oz",1,0,4,21,30,120,0,organic
Organic Bananas,"Simply Organic Banana Chips, 2.7 oz",1,0,4,21,30,120,0,organic
"*Broccoli, *Flax Seed, *Buckwheat Groats, *Chickpea Miso, *Carrot, *Sunflower Seeds, *Tomato, *Onion, *Garlic, Himalayan Salt, *Represents Organic Ingredient","Brad's Broccoli Cheddar Veggie Chips, 3 oz",3,190,2,1,28,80,0,organic
"Organic Potatoes, Organic Expeller Pressed Sunflower Seed, Safflower Seed and/or Canola Oil, Organic Cane Sugar, Sea Salt, Organic Tomato Powder, Organic Onion Powder, Organic Garlic Powder, Natural Flavor, Organic Black Pepper, Organic Red Pepper, Paprika Extract (Color), Citric Acid.","Organic Barbeque Potato Chips, 5 oz",1,190,1,1,28,150,1,organic
"Coconut Flour*, Cassava Starch *, Coconut Oil*, Xanthan Gum, Kosher Salt, Maltodextrin*, Sea Salt, White Distilled Vinegar*, *Organic","Organic Salt Vinegar Tortilla Chips, 5.5 oz",2,325,5,2,28,140,6,organic
"Ingredients: Organic Vegetable Blend (Organic Cassava Flour, Organic Tapioca Starch, Organic Red Vegetable Blend (Organic Tomato Powder, Organic Sweet Potato Powder, Organic Pumpkin Powder, Organic Carrot Powder), Organic Green Vegetable Blend (Organic Spinach Powder, Organic Broccoli Powder)), Organic Olive Oil, Himalayan Salt","Veggie Sticks, Himalayan Pink Salt, 4.5 oz",0.9,200,1,0,28,120,0.5,organic
"Ingredients: Organic Vegetable Blend (Organic Cassava Flour, Organic Tapioca Starch, Organic Red Vegetable Blend (Organic Tomato Powder, Organic Sweet Potato Powder, Organic Pumpkin Powder, Organic Carrot Powder), Organic Green Vegetable Blend (Organic Spinach Powder, Organic Broccoli Powder)), Organic Olive Oil, Organic Vegan Ranch Seasoning (Organic Tapioca Solids, Sea Salt, Organic Onion Powder, Organic Vinegar Powder (Organic Tapioca Maltodextrin, Organic White Distilled Vinegar), Organic Flavor, Organic Baker's Yeast Extract, Organic Garlic Powder, Organic Spices, Organic Tomato Powder, Citric Acid, Organic Sunflower Oil Added as A Processing Aid)","Veggie Sticks, Vegan Ranch, 4.5 oz",0.9,220,1,1,28,120,0.5,organic
"Coconut Flour*, Cassava Starch*, Coconut Oil*, Sea Salt, Xanthan Gum., *Organic","Organic Original Coconut Flour Tortilla Chips, 5.5 oz",2,210,5,2,28,140,6,organic
"Ingredients: Coconut Flour*, Cassava Starch*, Coconut Oil*, Sea Salt, Citric Acid, Xanthan Gum, Lime Oil*., *Organic","Organic Splash Of Lime Tortilla Chips, 5.5 oz",2,280,5,2,28,140,6,organic
"Ingredients: Organic Whole Ground Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Organic Ranch Seasoning (Organic Sour Cream Powder [(Organic Cream, Cultures, Lactic Acid), Organic Nonfat Milk Solids and Citric Acid], Sea Salt, Organic Maltodextrin, Organic Tomato Powder, Organic Cheddar Cheese [(Organic Milk, Cultures, Salt, Non-animal Enzymes), Disodium Phosphate], Organic Onion Powder, Organic Vinegar Powder (Organic Maltodextrin, Organic White Distilled Vinegar), Natural Flavor, Organic Paprika, Organic Spices, Organic Garlic Powder, Citric Acid, Lactic Acid), Organic Brown Rice, Organic Chia Seeds, Organic Grain & Seed Blend (Organic Flax, Organic Millet, Organic Brown Rice, Organic Quinoa, Organic Amaranth), Organic Evaporated Cane Sugar","Dude Ranch Multigrain Tortilla Chips, 5.5 oz",2,200,2,0,28,130,0.5,organic
"Organic Ingredients: Kale, Mango, Sunflower Seeds, Tahini (Ground Sesame Seeds), Lime Juice, Cane Sugar, Apple Cider Vinegar, *Sea Salt, Onion, Ginger, Turmeric, Carrot, Mango Concentrate, Jalapeno, Habanero., *Represents A Natural Non-organic Ingredient","Rhythm Superfoods Mango Habanero Kale Chips, 2 oz",4,200,3,5,28,130,0,organic
"Ingredients: Organic Stone Ground Yellow Corn, Organic Stone Ground White Corn, Organic Expeller Pressed Oils (Sunflower Seed, Safflower Seed and/or Canola), Sea Salt","Organic Sea Salt Corn Chips, 9 oz",2,150,2,0,28,150,1,organic
"Ingredients: Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans*, Organic Cocoa Butter*, Organic Soya Lecithin [Emulsifier]), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Palm Oil, Organic Peanut Flour, Sea Salt, Organic Sunflower Lecithin","Mini Dark Chocolate Peanut Butter Cups, 4.7 oz",2,85,1,9,24,150,5,organic
"Ingredients: Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans*, Organic Cocoa Butter*, Organic Soya Lecithin [Emulsifier]), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Peanut Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin., *Rainforest Alliance Certified Tm","Dark Chocolate Peanut Butter Cups, 1.4 oz",4,120,1,16,40,220,7,organic
"Ingredients: Organic Milk Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans*, Organic Full Cream Milk, Organic Cocoa Butter*, Organic Soya Lecithin [Emulsifier]), Organic Peanuts, Organic Cane Sugar, Organic Palm Oil, Organic Peanut Flour, Organic Vanilla Powder (Organic Vanilla Extract, Organic Vanilla Ground), Sea Salt, Organic Soy Lecithin","Mini Milk Chocolate Peanut Butter Cups, 4.7 oz",2,90,1,10,24,150,5,organic
Organic Coconut Butter Organic Cacao Organic Jerusalem Artichoke Fiber Organic Cacao Butter Organic Monk Fruit Extract Organic MCT Oil,"Original Keto Cups, 4.93 oz",1,5,6,1,20,130,8,organic
"Ingredients: Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter, Sea Salt","Salty Dark Chocolate Bar, 2.1 oz",2,105,3,9,30,180,8,organic
"Ingredients: Organic Milk Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans, Organic Full Cream Milk, Organic Cocoa Butter, Organic Soya Lecithin [Emulsifier]), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Peanut Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin","Organic Milk Chocolate Peanut Butter Cups, 1.4 oz",4,120,1,16,40,230,8,organic
"Ingredients: Organic Milk Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans, Organic Full Cream Milk, Organic Cocoa Butter, Organic Soya Lecithin [Emulsifier]), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Peanut Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin","Organic Milk Chocolate Peanut Butter Cups, 1.4 oz",4,120,1,16,40,230,8,organic
"Ingredients: Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter","Simple Dark Chocolate Bar, 2.1 oz",2,15,3,9,30,180,8,organic
"Ingredients: Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans*, Organic Cocoa Butter*, Organic Soya Lecithin [Emulsifier]), Organic Almonds, Organic Cane Sugar, Organic Almond Protein, Organic Palm Oil**, Sea Salt, Organic Sunflower Lecithin","Organic Dark Chocolate Almond Butter Cup, 1.4 oz",3,100,1,14,40,230,7,organic
Organic Coconut Butter Organic Cacao Organic Jerusalem Artichoke Fiber Organic Cacao Butter Organic Ground Coffee Organic Monk Fruit Extract Organic MCT Oil,"Coffee Keto Cups, 4.93 oz",1,5,6,1,20,130,8,organic
"Ingredients: Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter","Dark Chocolate Gems For Baking & Snacking, 4.25 oz",1,5,1,4,15,90,4,organic
"Ingredients: Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter, Organic Fair-trade Cacao Nibs, Organic Peppermint Oil","Crunchy Mint Dark Chocolate Bar, 2.1 oz",3,10,3,8,30,180,8,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+, Sea Salt., *Organic +Fair Trade","Sea Salt 70% Dark Chocolate Bar, 3 oz",2,100,3,9,28,160,6,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Almonds*, Cocoa Butter*+, Pink Himalayan Salt., *Organic +Fair Trade","Organic Fair Trade Salted Almond (70%) Dark Chocolate Bar, 3 oz",3,50,3,8,28,170,5,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+, Ground Vanilla Bean*., *Organic +Fair Trade","Organic Fair Trade Pure (85%) Dark Chocolate Bar, 3 oz",3,0,4,4,28,180,7,organic
"Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans*, Organic Cocoa Butter*, Organic Soya Lecithin [Emulsifier]), Organic Cashews, Organic Cane Sugar, Organic Oat Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin., *Rainforest Alliance Certified Tm","Organic Dark Chocolate Cashew Butter Cup, 14 oz",3,100,1,14,40,230,7,organic
"Ingredients: Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter, Organic Puffed Quinoa, Organic Vanilla Bean, Sea Salt","Vanilla Crunch Dark Chocolate Bar, 2.1 oz",2,45,2,8,30,180,8,organic
"Ingredients: *Organic Cacao Beans, *Organic Cocoa Butter, *Organic Raw Cane Sugar, *Organic Vanilla Beans","Organic Dark Blackout Chocolate Bar, 2.82 oz",3,0,3,4,30,190,10,organic
"Ingredients: Organic Almond, Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter, Sea Salt","Chocolate Covered Almonds & Sea Salt, 4 oz",5,80,3,4,28,170,4,organic
"Organic Cocoa Mass, Organic Expeller Pressed Coconut Oil, Organic Cane Sugar, Organic Cocoa Butter, Organic Cocoa Powder (Processed With Alkali), Soy Lecithin (Emulsifier).","Whole Foods Organic Chocolate Truffles, 8.8 oz",1,0,2,8,27,180,12,organic
"Ingredients: Organic Cashew, Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter, Sea Salt, Organic Vanilla Bean","Chocolate Covered Cashews & Vanilla Bean Hunks, 4 oz",4,75,2,4,28,170,4.5,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+, Orange Essential Oil*., *Organic +Fair Trade","Organic Fair Trade Orange (70%) Dark Chocolate Bar, 3 oz",2,0,3,9,28,170,6,organic
"Ingredients: Organic Cane Sugar, Organic Brown Rice Syrup, Citric Acid, Ascorbic Acid, Natural Flavors, Colored With Organic Concentrate (Carrot, Apple, Blackcurrant, Radish), Turmeric (Color)","Vitamin C Pops (40 Ct), 8.7 oz",0,0,0,8,12.4,45,0,organic
"Ingredients: *Organic Cacao Beans, *Organic Raw Cane Sugar, *Organic Cocoa Butter, Sea Salt (Fleur De Sel)","Alter Eco Organic Deep Dark Sea Salt Chocolate Bar, 2.82 oz",2,55,3,9,30,180,8,organic
"Best Ingredients: Organic Tapioca Syrup, Organic Cane Sugar, Organic Tapioca Syrup Solids, Organic Pear Juice Concentrate, Water, Pectin, Citric Acid, Sodium Citrate, Ascorbic Acid (Vitamin C), Organic Color (Organic Black Carrot, Organic Black Currant Extracts), Organic Sunflower Oil, Natural Flavor, Organic Carnauba Wax","Organic Berry Patch Bunny Fruit Snacks, 4 oz",0,55,11,9,30,180,8,organic
"Ingredients: *Organic Cacao Beans, *Organic Raw Cane Sugar, Salted Caramel Granulates (*Organic Cane Sugar, Organic Glucose Syrup, Organic Cream, Organic Butter, Water, Sea Salt (Fleur De Sel)), *Organic Cocoa Butter, Organic Butterfat, Sea Salt (Fleur De Sel), Natural Flavor., *Fair Trade Certified Tm by Fair Trade USA, Total 90.5% Fair Trade Ingredients","Alter Eco Organic Dark Salted Burnt Caramel Chocolate Bar, 2.82 oz",2,55,2,10,30,170,7,organic
"Best Ingredients: Organic Tapioca Syrup, Organic Cane Sugar, Organic Tapioca Syrup Solids, Organic Pear Juice Concentrate, Water, Pectin, Citric Acid, Sodium Citrate, Ascorbic Acid (Vitamin C), Organic Sunflower Oil, Organic Color (Organic Black Carrot, Organic Black Currant Extracts), Natural Flavor, Organic Carnauba Wax","Organic Summer Strawberry Fruit Snacks, 4 oz",0,55,11,10,30,170,7,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+., *Organic +Fair Trade","Organic Fair Trade Pure (70%) Dark Chocolate Bar, 3 oz",2,0,3,9,28,170,6,organic
"Ingredients: Organic Dark Chocolate (Organic Evaporated Cane Sugar, Organic Cacao Beans, Organic Cocoa Butter, Organic Soya Lecithin [Emulsifier]), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Quinoa, Organic Peanut Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin","Organic Crispy Dark Chocolate Peanut Butter Cup 2 Count, 1.32 oz",4,120,2,15,37,220,7,organic
Organic Cacao Organic Shredded Coconut Organic Cacao Butter,"Midnight Coconut Primal Chocolate, 2.3 oz",3,0,5,0,28,150,10,organic
"Ingredients: Organic White Chocolate (Organic Sugar, Organic Cocoa Butter*, Organic Whole Milk Powder, Organic Soy Lecithin [Emulsifier], Organic Vanilla), Organic Peanut Butter (Organic Ground Peanuts), Organic Cane Sugar, Organic Peanut Flour, Organic Palm Oil, Sea Salt, Organic Sunflower Lecithin., *Rainforest Alliance Certified Tm","Justin's White Chocolate Peanut Butter Cups, 14 oz",3,150,0,16,40,230,9,organic
"Strawberry Best Ingredients: Organic Pear Juice Concentrate, Organic Apple Juice Concentrate, Organic Dried Apple, Organic Sunflower Oil, Organic Strawberry Puree, Organic Tapioca Starch, Organic Color (Organic Carrot and Organic Blackcurrant Extracts), Citrus Pectin, Ascorbic Acid (Vitamin C), Citric Acid, Natural Flavor., Berry Best Ingredients: Organic Pear Juice Concentrate, Organic Apple Juice Concentrate, Organic Dried Apple, Organic Sunflower Oil, Organic Tapioca Starch, Organic Raspberry Puree, Organic Strawberry Puree, Organic Color (Organic Carrot and Organic Blackcurrant Extracts), Citrus Pectin, Ascorbic Acid (Vitamin C), Citric Acid, Natural Flavor","Organic Really Peely Variety, 9 oz",0,10,1,12,21,80,0,organic
"Ingredients: Organic Cocoa Beans, Organic Cane Sugar, Organic Cocoa Butter, Organic Sunflower Lecithin (Emulsifier)","92% Cocoa Pure Dark Chocolate Bar, 2.64 oz",3,10,3,2,25,160,8,organic
"Ingredient: *Organic Cacao Beans, *Organic Raw Cane Sugar, *Organic Cocoa Butter, Organic Butterfat, Sea Salt (Fleur De Sel), Natural Flavor., *Fair Trade Certified Tm by Fair Trade USA, Total 94.5% Fair Trade Ingredients","Alter Eco Organic Dark Salted Brown Butter Chocolate Bar, 2.82 oz",2,50,3,8,30,180,9,organic
"Ingredients: Milk Chocolate (Organic Cane Sugar*, Organic Milk Powder, Organic Cocoa Butter*, Organic Chocolate Liquor*, Organic Vanilla Extract*), Organic Crisped Quinoa., *Fair Trade Certified Tm by Fair Trade USA","Organic Wtg Crunchy Quinoa Milk Chocolate Bar, 2.8 oz",2,20,1,14,30,170,7,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+, Dried Sour Cherries* (Sour Cherries*, Sunflower Oil*, Rice Flour*), Almonds*, Ground Vanilla Bean*+., *Organic +Fair Trade","Organic Fair Trade Cherry Almond (70%) Dark Chocolate Bar, 3 oz",3,0,4,13,42,210,9,organic
"Ingredients: *Organic Cacao Beans, *Organic Raw Cane Sugar, *Organic Cocoa Butter, Quinoa-rice Crisps (*Organic Quinoa, *Organic Rice, *Organic Raw Cane Sugar), *Organic Vanilla Beans., *Fair Trade Certified [] by Fair Trade USA, Total 100% Fair Trade Ingredients","Organic Dark Quinoa Chocolate Bar, 2.82 oz",2,0,2,11,30,170,7,organic
"Ingredients: *Organic Cacao Beans, *Organic Cocoa Butter, *Organic Raw Cane Sugar, Peppermint Crunch (*Organic Raw Cane Sugar, Organic Peppermint Oil, *Organic Cocoa Powder), *Organic Vanilla Beans","Organic Superdark Crisp Mint 90% Chocolate Bar, 2.65 oz",2,0,3,5,30,200,10,organic
"Ingredients: Cocoa Beans*+, Cane Sugar*+, Coconut*+, Cocoa Butter*+., *Organic +Fair Trade","Organic Fair Trade Coconut (70%) Dark Chocolate Bar, 3 oz",2,0,3,8,28,170,7,organic
Ingredients Organic Coconut Organic Cacao Organic Coconut Sugar Organic Cacao Butter Himalayan Sea Salt,"Eating Evolved Dark Chocolate Caramel & Sea Salt Coconut Butter Cups, 1.5 oz",1,135,3,4,21,130,9,organic
Ingredients Organic Cacao Organic Coconut Sugar Organic Almonds Organic Cacao Butter Himalayan Sea Salt,"Almond Sea Salt Primal Chocolate, 2.5 oz",3,150,3,7,28,140,6,organic
Organic Cacao Organic Coconut Sugar Organic Cacao Butter,"72% Cacao Signature Dark with Organic Coconut Sugar, 2.5 oz",2,10,3,7,28,140,7,organic
Ingredients Organic Coconut Organic Cacao* Organic Coconut Sugar Organic Cacao Butter Himalayan Sea Salt,"Eating Evolved Dark Chocolate Classic Coconut Butter Cups, 1.5 oz",1,45,3,4,21,130,9,organic
"Cocoa Beans*+, Cane Sugar*+, Cocoa Butter*+, Peppermint Essential Oil*., *Organic +Fair Trade","Organic Fair Trade Mint (70%) Dark Chocolate Bar, 3 oz",2,0,3,9,28,170,6,organic
"Ingredients: Cacao Beans†‡, Evaporated Cane Syrup†, Cocoa Butter†‡, Sunflower Lecithin","Organic 74% Chocolate Baking Wafers, 12 oz",1,0,3,4,15,90,3.5,organic
"Ingredients: Organic Cocoa Beans, Organic Cane Sugar, Organic Cocoa Butter, Organic Sunflower Lecithin (Emulsifier)","80% Cocoa Pure Dark Chocolate Bar, 2.64 oz",3,10,3,5,25,150,7,organic
"Cocoa Beans*†, Cane Sugar*†, Cocoa Butter*†, Toffee* (Cane Sugar*†, Butter*, Dried Corn Syrup*, Water, Sea Salt), Sea Salt, Ground Vanilla Bean*., *Organic †fair Trade","Theo Chocolate Salted Toffee 55% Dark Chocolate, 3 oz",2,60,2,12,28,160,5,organic
"Cocoa Beans*+, Cane Sugar*+, Puffed Black Rice*, Quinoa Crisps*, Cocoa Butter*+, Ground Vanilla Bean*., *Organic +Fair Trade","Theo Chocolate Organic Black Rice Quinoa Crunch 5% Dark Chocolate Bar, 3 oz",3,0,4,4,28,170,6,organic
"Best Ingredients: Organic Tapioca Syrup, Organic Cane Sugar, Organic Tapioca Syrup Solids, Water, Organic Pear Juice Concentrate, Organic Honey, Pectin, Citric Acid, Sodium Citrate, Organic Sunflower Oil, Organic Color (Organic Black Carrot, Organic Black Currant Extracts), Organic Carnauba Wax, Natural Flavor","Organic Bees Bugs Fruit Snack 5 Count, 4 oz",0,50,11,4,28,170,6,organic
Ingredients Organic Cacao Organic Cashews Organic Coconut Sugar Organic Cacao Butter Organic Maple Sugar Organic Coconut Flour Himalayan Sea Salt Organic Vanilla Bean Powder,"Cashew Cookie Dough Filled Chocolate Bar, 2.5 oz",3,75,3,6,28,140,6,organic
"Ingredients: Organic Cane Sugar, Organic Brown Rice Syrup, Organic Brown Rice Flour, Organic Apple Juice Concentrate, Organic Tapioca Starch, Citric Acid, Organic Palm Fruit Oil, Natural Flavor, Malic Acid, Tartaric Acid, Sodium Citrate, Organic Rice Bran Extract, Colored With Concentrate (Carrot, Blackcurrant), Turmeric (Color)","Organic Sour Twist Watermelon Lemonade, 7 oz",0,20,0,9,19.8,70,0,organic
"Ingredients: Organic: * Cacao Nib*, Cane Sugar*, Cacao Liquor*","Organic Cacao Sweet Nibs, 8 oz",0,0,1,1,4,25,1,organic
"Tapioca Syrup*, Cane Sugar*, Tapioca Syrup Solids*, Pear Juice Concentrate*, Water, Pectin, Citric Acid, Sodium Citrate, Ascorbic Acid (Vitamin C), Natural Flavor, Sunflower Oil*, Color* (Black Carrot*, Blackcurrant*, Annatto*, Turmeric*, Extracts), Carnauba Wax*, * Organic","Tropical Treat Organic Fruit Snacks, 4 oz",0,55,11,1,4,25,1,organic
"Ingredients: Organic: * Cacao Nibs*, Cane Sugar*, Cacao Liquor*","Organic Cacao Sweet Nibs, 4 oz",0,0,1,1,4,25,1,organic
"Ingredients: Fair Trade Dark Chocolate* (Cacao Beans*, Dried Cane Syrup*, Cacao Butter*, Sunflower Lecithin*), Bananas*, Tapioca Maltodextrin*, Natural Glaze *Indicates USDA Certified Organic","Barnana Organic Dark Chocolate Chewy Banana Bites, 3.5 oz",2,10,4,15,40,180,5,organic
"Ingredients: Organic Cane Sugar, Organic Brown Rice Syrup, Organic Fruit and Organic Vegetable Juice Concentrate For Color (Red Radish, Apple, Black Currant), Natural Flavor","Organic Candy Canes, 5 oz",0,0,0,11,14,60,0,organic
"Ingredients: Organic Cocoa Beans, Organic Cane Sugar, Organic Cocoa Butter, Organic Cocoa Nibs, Organic Sunflower Lecithin (Emulsifier), Sea Salt","Sea Salt & Nibs 63% Cocoa Dark Chocolate Bar, 2.64 oz",2,35,2,8,25,150,6,organic
"Cocoa Beans*+, Cane Sugar*+, Crystallized Ginger* (Ginger*, Cane Sugar*), Cocoa Butter*+., *Organic +Fair Trade","Theo Chocolate Organic Ginger 70% Dark Chocolate Bar, 3 oz",2,0,3,10,28,160,5,organic
"Ingredients: Organic Cocoa Beans, Organic Cane Sugar, Organic Cocoa Butter, Organic Sunflower Lecithin (Emulsifier)","70% Cocoa Pure Dark Chocolate Bar, 2.64 oz",2,10,2,7,25,150,6,organic
"Organic Bittersweet Chocolate (Organic Chocolate Liquor, Organic Cane Sugar, Organic Cocoa Butter, Soy Lecithin (Emulsifier), Organic Vanilla Extract), Organic Coconut Milk (Organic Coconut, Water), Organic Brown Rice Syrup, Organic Cane Sugar, Sea Salt, Organic Vanilla Extract (Water, Organic Ethyl Alcohol, Organic Vanilla Bean Extractives), Xanthan Gum","Bites Organic Vegan Dark Chocolate Covered Coconut Milk Caramels - Sea Salt, 3.5 oz",2,180,2,16,40,180,6,organic
"Ingredients: Organic Cocoa Beans, Organic Cane Sugar, Organic Almond Nibs, Organic Cocoa Butter, Organic Sunflower Lecithin (Emulsifier), Sea Salt","Salted Almond 63% Cocoa Dark Chocolate Bar, 2.64 oz",2,25,2,8,25,150,6,organic
"Ingredients: Organic Cane Sugar, Organic Brown Rice Syrup, Pectin, Organic Tapioca Starch, Organic Pear Juice Concentrate, Citric Acid, Malic Acid, Natural Flavors, Ascorbic Acid, Acacia Gum, Saffron (Color), Organic Carnauba Wax, Colors from Concentrate (Carrot, Blueberry), Organic Colors from Concentrate (Carrot, Radish, Apple)","Yumearth Sour Beans (10 Pk), 7 oz",0,0,0,14,19.8,70,0,organic
"Ingredients: Organic Goldenberry, Organic Cacao, Unrefined Organic Coconut Sugar, Organic Fair-trade Cocoa Butter","Chocolate Covered Sour Goldenberry Hunks, 4 oz",2,0,4,10,28,130,3,organic
"Organic Raw Coconut Oil, Organic Raw Shredded Coconut, Organic Raw Blue Agave, Organic Raw Cashews, Organic Brown Rice Syrup & Pink Himalayan Salt., Organic Chocolate Coating: Organic Chocolate Liquor, Organic Cacao Butter, Organic Cane Sugar, Organic Vanilla","Organic Coconut Bar, 1.6 oz",3,20,4,9,45,260,16,organic
"Ingredients: Peanut Butter Cup Coating* (Dried Cane Syrup*, Cacao Beans*, Certified Sustainable Palm Kernel Oil*, Peanut Flour*, Cacao Butter*, Sea Salt, Sunflower Lecithin*, Soy Lecithin*), Bananas*, Peanut Flour* *Indicates USDA Certified Organic","Organic Dark Chocolate Peanut Butter Banana Bites, 3.5 oz",2,85,3,14,40,185,4,organic
"Best Ingredients: Organic Tapioca Syrup, Organic Cane Sugar, Organic Tapioca Syrup Solids, Organic Pear Juice Concentrate, Water, Pectin, Citric Acid, Sodium Citrate, Organic Sunflower Oil, Organic Color (Organic Black Carrot, Organic Blackcurrant, Organic Turmeric Extracts), Natural Flavors, Organic Carnauba Wax","Mini Bunny Fruit Snack 5 Count, 4 oz",0,55,11,14,40,185,4,organic
